param_LDA__solver,param_LDA__shrinkage,param_LDA__store_covariance,param_LDA__tol,params,mean_test_score,std_test_score
lsqr,0.32,,,"{'LDA__shrinkage': 0.32, 'LDA__solver': 'lsqr'}",0.5683333333333335,0.09788031240017349
eigen,0.32,,,"{'LDA__shrinkage': 0.32, 'LDA__solver': 'eigen'}",0.5683333333333335,0.09788031240017349
lsqr,0.33,,,"{'LDA__shrinkage': 0.33, 'LDA__solver': 'lsqr'}",0.5683333333333335,0.09788031240017349
eigen,0.33,,,"{'LDA__shrinkage': 0.33, 'LDA__solver': 'eigen'}",0.5683333333333335,0.09788031240017349
lsqr,0.34,,,"{'LDA__shrinkage': 0.34, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09882644720249062
eigen,0.34,,,"{'LDA__shrinkage': 0.34, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09882644720249062
lsqr,0.35000000000000003,,,"{'LDA__shrinkage': 0.35000000000000003, 'LDA__solver': 'lsqr'}",0.5716666666666668,0.09805044053388484
eigen,0.35000000000000003,,,"{'LDA__shrinkage': 0.35000000000000003, 'LDA__solver': 'eigen'}",0.5716666666666668,0.09805044053388484
lsqr,0.36,,,"{'LDA__shrinkage': 0.36, 'LDA__solver': 'lsqr'}",0.5716666666666668,0.09805044053388484
eigen,0.36,,,"{'LDA__shrinkage': 0.36, 'LDA__solver': 'eigen'}",0.5716666666666668,0.09805044053388484
lsqr,0.37,,,"{'LDA__shrinkage': 0.37, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09712534856222309
eigen,0.37,,,"{'LDA__shrinkage': 0.37, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09712534856222309
lsqr,0.38,,,"{'LDA__shrinkage': 0.38, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09712534856222309
eigen,0.38,,,"{'LDA__shrinkage': 0.38, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09712534856222309
lsqr,0.39,,,"{'LDA__shrinkage': 0.39, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09712534856222309
eigen,0.39,,,"{'LDA__shrinkage': 0.39, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09712534856222309
lsqr,0.4,,,"{'LDA__shrinkage': 0.4, 'LDA__solver': 'lsqr'}",0.5716666666666668,0.0988966913276453
eigen,0.4,,,"{'LDA__shrinkage': 0.4, 'LDA__solver': 'eigen'}",0.5716666666666668,0.0988966913276453
lsqr,0.41000000000000003,,,"{'LDA__shrinkage': 0.41000000000000003, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09966610925150701
eigen,0.41000000000000003,,,"{'LDA__shrinkage': 0.41000000000000003, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09966610925150701
lsqr,0.42,,,"{'LDA__shrinkage': 0.42, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09966610925150701
eigen,0.42,,,"{'LDA__shrinkage': 0.42, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09966610925150701
lsqr,0.43,,,"{'LDA__shrinkage': 0.43, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09966610925150701
eigen,0.43,,,"{'LDA__shrinkage': 0.43, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09966610925150701
lsqr,0.44,,,"{'LDA__shrinkage': 0.44, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09966610925150701
eigen,0.44,,,"{'LDA__shrinkage': 0.44, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09966610925150701
lsqr,0.45,,,"{'LDA__shrinkage': 0.45, 'LDA__solver': 'lsqr'}",0.5683333333333334,0.09956851354162564
eigen,0.45,,,"{'LDA__shrinkage': 0.45, 'LDA__solver': 'eigen'}",0.5683333333333334,0.09956851354162564
lsqr,0.46,,,"{'LDA__shrinkage': 0.46, 'LDA__solver': 'lsqr'}",0.5683333333333334,0.09956851354162564
eigen,0.46,,,"{'LDA__shrinkage': 0.46, 'LDA__solver': 'eigen'}",0.5683333333333334,0.09956851354162564
lsqr,0.47000000000000003,,,"{'LDA__shrinkage': 0.47000000000000003, 'LDA__solver': 'lsqr'}",0.5683333333333334,0.09956851354162564
eigen,0.47000000000000003,,,"{'LDA__shrinkage': 0.47000000000000003, 'LDA__solver': 'eigen'}",0.5683333333333334,0.09956851354162564
lsqr,0.48,,,"{'LDA__shrinkage': 0.48, 'LDA__solver': 'lsqr'}",0.5683333333333334,0.09956851354162564
eigen,0.48,,,"{'LDA__shrinkage': 0.48, 'LDA__solver': 'eigen'}",0.5683333333333334,0.09956851354162564
lsqr,0.49,,,"{'LDA__shrinkage': 0.49, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09966610925150701
eigen,0.49,,,"{'LDA__shrinkage': 0.49, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09966610925150701
lsqr,0.5,,,"{'LDA__shrinkage': 0.5, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09966610925150701
eigen,0.5,,,"{'LDA__shrinkage': 0.5, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09966610925150701
lsqr,0.51,,,"{'LDA__shrinkage': 0.51, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09966610925150701
eigen,0.51,,,"{'LDA__shrinkage': 0.51, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09966610925150701
lsqr,0.52,,,"{'LDA__shrinkage': 0.52, 'LDA__solver': 'lsqr'}",0.5700000000000001,0.09966610925150701
eigen,0.52,,,"{'LDA__shrinkage': 0.52, 'LDA__solver': 'eigen'}",0.5700000000000001,0.09966610925150701
lsqr,0.53,,,"{'LDA__shrinkage': 0.53, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.0972396809720988
eigen,0.53,,,"{'LDA__shrinkage': 0.53, 'LDA__solver': 'eigen'}",0.5733333333333335,0.0972396809720988
lsqr,0.54,,,"{'LDA__shrinkage': 0.54, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.0972396809720988
eigen,0.54,,,"{'LDA__shrinkage': 0.54, 'LDA__solver': 'eigen'}",0.5733333333333335,0.0972396809720988
lsqr,0.55,,,"{'LDA__shrinkage': 0.55, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.0972396809720988
eigen,0.55,,,"{'LDA__shrinkage': 0.55, 'LDA__solver': 'eigen'}",0.5733333333333335,0.0972396809720988
lsqr,0.56,,,"{'LDA__shrinkage': 0.56, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09810708435174291
eigen,0.56,,,"{'LDA__shrinkage': 0.56, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09810708435174291
lsqr,0.5700000000000001,,,"{'LDA__shrinkage': 0.5700000000000001, 'LDA__solver': 'lsqr'}",0.5766666666666668,0.09637888196533972
eigen,0.5700000000000001,,,"{'LDA__shrinkage': 0.5700000000000001, 'LDA__solver': 'eigen'}",0.5766666666666668,0.09637888196533972
lsqr,0.58,,,"{'LDA__shrinkage': 0.58, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09725396307263437
eigen,0.58,,,"{'LDA__shrinkage': 0.58, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09725396307263437
lsqr,0.59,,,"{'LDA__shrinkage': 0.59, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09725396307263437
eigen,0.59,,,"{'LDA__shrinkage': 0.59, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09725396307263437
lsqr,0.6,,,"{'LDA__shrinkage': 0.6, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09725396307263437
eigen,0.6,,,"{'LDA__shrinkage': 0.6, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09725396307263437
lsqr,0.61,,,"{'LDA__shrinkage': 0.61, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09725396307263437
eigen,0.61,,,"{'LDA__shrinkage': 0.61, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09725396307263437
lsqr,0.62,,,"{'LDA__shrinkage': 0.62, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09725396307263437
eigen,0.62,,,"{'LDA__shrinkage': 0.62, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09725396307263437
lsqr,0.63,,,"{'LDA__shrinkage': 0.63, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09725396307263437
eigen,0.63,,,"{'LDA__shrinkage': 0.63, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09725396307263437
lsqr,0.64,,,"{'LDA__shrinkage': 0.64, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09725396307263437
eigen,0.64,,,"{'LDA__shrinkage': 0.64, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09725396307263437
lsqr,0.65,,,"{'LDA__shrinkage': 0.65, 'LDA__solver': 'lsqr'}",0.5750000000000001,0.09725396307263437
eigen,0.65,,,"{'LDA__shrinkage': 0.65, 'LDA__solver': 'eigen'}",0.5750000000000001,0.09725396307263437
lsqr,0.66,,,"{'LDA__shrinkage': 0.66, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.09637888196533972
eigen,0.66,,,"{'LDA__shrinkage': 0.66, 'LDA__solver': 'eigen'}",0.5733333333333335,0.09637888196533972
lsqr,0.67,,,"{'LDA__shrinkage': 0.67, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.09637888196533972
eigen,0.67,,,"{'LDA__shrinkage': 0.67, 'LDA__solver': 'eigen'}",0.5733333333333335,0.09637888196533972
lsqr,0.68,,,"{'LDA__shrinkage': 0.68, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.09637888196533972
eigen,0.68,,,"{'LDA__shrinkage': 0.68, 'LDA__solver': 'eigen'}",0.5733333333333335,0.09637888196533972
lsqr,0.6900000000000001,,,"{'LDA__shrinkage': 0.6900000000000001, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.0972396809720988
eigen,0.6900000000000001,,,"{'LDA__shrinkage': 0.6900000000000001, 'LDA__solver': 'eigen'}",0.5733333333333335,0.0972396809720988
lsqr,0.7000000000000001,,,"{'LDA__shrinkage': 0.7000000000000001, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.0972396809720988
eigen,0.7000000000000001,,,"{'LDA__shrinkage': 0.7000000000000001, 'LDA__solver': 'eigen'}",0.5733333333333335,0.0972396809720988
lsqr,0.71,,,"{'LDA__shrinkage': 0.71, 'LDA__solver': 'lsqr'}",0.575,0.09810708435174291
eigen,0.71,,,"{'LDA__shrinkage': 0.71, 'LDA__solver': 'eigen'}",0.575,0.09810708435174291
lsqr,0.72,,,"{'LDA__shrinkage': 0.72, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.09893881386437219
eigen,0.72,,,"{'LDA__shrinkage': 0.72, 'LDA__solver': 'eigen'}",0.5733333333333335,0.09893881386437219
lsqr,0.73,,,"{'LDA__shrinkage': 0.73, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.09893881386437219
eigen,0.73,,,"{'LDA__shrinkage': 0.73, 'LDA__solver': 'eigen'}",0.5733333333333335,0.09893881386437219
lsqr,0.74,,,"{'LDA__shrinkage': 0.74, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.09893881386437219
eigen,0.74,,,"{'LDA__shrinkage': 0.74, 'LDA__solver': 'eigen'}",0.5733333333333335,0.09893881386437219
lsqr,0.75,,,"{'LDA__shrinkage': 0.75, 'LDA__solver': 'lsqr'}",0.5733333333333335,0.09893881386437219
eigen,0.75,,,"{'LDA__shrinkage': 0.75, 'LDA__solver': 'eigen'}",0.5733333333333335,0.09893881386437219
